experiment_name	experiment_group	model_name	PCA	F1_cv	F1_holdout	F1_unkn
all categorical	Naieve	LogisticRegression	False	0.902	0.894	0.829
all categorical	Naieve	DecisionTreeClassifier	False	0.952	0.962	0.733
all categorical	Naieve	LGBMClassifier	False	0.969	0.964	0.611
all categorical	Naieve	MLPClassifier	False	0.959	0.965	0.696
all categorical PCA	Naieve	LogisticRegression	True	0.783	0.8	0.701
all categorical PCA	Naieve	DecisionTreeClassifier	True	0.852	0.865	0.569
all categorical PCA	Naieve	LGBMClassifier	True	0.891	0.913	0.722
all categorical PCA	Naieve	MLPClassifier	True	0.894	0.92	0.646
6_graphemes	Graphemes	LogisticRegression	False	0.889	0.873	0.818
6_graphemes	Graphemes	DecisionTreeClassifier	False	0.96	0.953	0.519
6_graphemes	Graphemes	LGBMClassifier	False	0.972	0.967	0.596
6_graphemes	Graphemes	MLPClassifier	False	0.974	0.971	0.748
4_graphemes	Graphemes	LogisticRegression	False	0.862	0.838	0.882
4_graphemes	Graphemes	DecisionTreeClassifier	False	0.907	0.911	0.832
4_graphemes	Graphemes	LGBMClassifier	False	0.914	0.92	0.808
4_graphemes	Graphemes	MLPClassifier	False	0.92	0.92	0.826
2_graphemes	Graphemes	LogisticRegression	False	0.727	0.723	0.773
2_graphemes	Graphemes	DecisionTreeClassifier	False	0.723	0.738	0.756
2_graphemes	Graphemes	LGBMClassifier	False	0.719	0.736	0.756
2_graphemes	Graphemes	MLPClassifier	False	0.721	0.732	0.817
sufs	Graphemes	LogisticRegression	False	0.954	0.949	0.403
sufs	Graphemes	DecisionTreeClassifier	False	0.958	0.96	0.348
sufs	Graphemes	LGBMClassifier	False	0.806	0.833	0.352
sufs	Graphemes	MLPClassifier	False	0.975	0.975	0.572
6_graphemes PCA	Graphemes	LogisticRegression	True	0.786	0.803	0.771
6_graphemes PCA	Graphemes	DecisionTreeClassifier	True	0.933	0.935	0.655
6_graphemes PCA	Graphemes	LGBMClassifier	True	0.946	0.951	0.666
6_graphemes PCA	Graphemes	MLPClassifier	True	0.94	0.956	0.577
4_graphemes PCA	Graphemes	LogisticRegression	True	0.78	0.8	0.759
4_graphemes PCA	Graphemes	DecisionTreeClassifier	True	0.903	0.918	0.835
4_graphemes PCA	Graphemes	LGBMClassifier	True	0.91	0.924	0.849
4_graphemes PCA	Graphemes	MLPClassifier	True	0.905	0.902	0.815
2_graphemes PCA	Graphemes	LogisticRegression	True	0.724	0.722	0.773
2_graphemes PCA	Graphemes	DecisionTreeClassifier	True	0.722	0.738	0.756
2_graphemes PCA	Graphemes	LGBMClassifier	True	0.723	0.736	0.756
2_graphemes PCA	Graphemes	MLPClassifier	True	0.72	0.738	0.735
sufs PCA	Graphemes	LogisticRegression	True	0.754	0.742	0.672
sufs PCA	Graphemes	DecisionTreeClassifier	True	0.925	0.911	0.458
sufs PCA	Graphemes	LGBMClassifier	True	0.941	0.944	0.451
sufs PCA	Graphemes	MLPClassifier	True	0.829	0.823	0.595
all grammar	Grammar	LogisticRegression	False	0.706	0.736	0.689
all grammar	Grammar	DecisionTreeClassifier	False	0.705	0.738	0.699
all grammar	Grammar	LGBMClassifier	False	0.713	0.742	0.699
all grammar	Grammar	MLPClassifier	False	0.708	0.74	0.702
only categories grammar	Grammar	LogisticRegression	False	0.711	0.743	0.693
only categories grammar	Grammar	DecisionTreeClassifier	False	0.713	0.738	0.701
only categories grammar	Grammar	LGBMClassifier	False	0.714	0.738	0.701
only categories grammar	Grammar	MLPClassifier	False	0.714	0.738	0.701
no categories grammar	Grammar	LogisticRegression	False	0.507	0.518	0.546
no categories grammar	Grammar	DecisionTreeClassifier	False	0.473	0.527	0.542
no categories grammar	Grammar	LGBMClassifier	False	0.474	0.511	0.554
no categories grammar	Grammar	MLPClassifier	False	0.456	0.508	0.555
all grammar PCA	Grammar	LogisticRegression	True	0.707	0.736	0.694
all grammar PCA	Grammar	DecisionTreeClassifier	True	0.705	0.742	0.699
all grammar PCA	Grammar	LGBMClassifier	True	0.709	0.742	0.693
all grammar PCA	Grammar	MLPClassifier	True	0.716	0.736	0.699
only categories grammar PCA	Grammar	LogisticRegression	True	0.711	0.738	0.699
only categories grammar PCA	Grammar	DecisionTreeClassifier	True	0.713	0.738	0.701
only categories grammar PCA	Grammar	LGBMClassifier	True	0.713	0.738	0.701
only categories grammar PCA	Grammar	MLPClassifier	True	0.712	0.738	0.701
no categories grammar PCA	Grammar	LogisticRegression	True	0.506	0.52	0.544
no categories grammar PCA	Grammar	DecisionTreeClassifier	True	0.474	0.527	0.542
no categories grammar PCA	Grammar	LGBMClassifier	True	0.473	0.529	0.537
no categories grammar PCA	Grammar	MLPClassifier	True	0.475	0.511	0.551
grammar and graphemes	GrammarAndGraphemes	LogisticRegression	False	0.863	0.85	0.876
grammar and graphemes PCA	GrammarAndGraphemes	LogisticRegression	False	0.783	0.807	0.639
grammar and graphemes	GrammarAndGraphemes	DecisionTreeClassifier	False	0.914	0.922	0.811
grammar and graphemes PCA	GrammarAndGraphemes	DecisionTreeClassifier	False	0.904	0.909	0.812
grammar and graphemes	GrammarAndGraphemes	LGBMClassifier	False	0.917	0.927	0.828
grammar and graphemes PCA	GrammarAndGraphemes	LGBMClassifier	False	0.909	0.912	0.855
grammar and graphemes	GrammarAndGraphemes	MLPClassifier	False	0.923	0.924	0.793
grammar and graphemes PCA	GrammarAndGraphemes	MLPClassifier	False	0.9	0.914	0.826
word embeddings	W2V	LogisticRegression	False	0.944	0.964	0.785
word embeddings	W2V	DecisionTreeClassifier	False	0.934	0.955	0.649
word embeddings	W2V	LGBMClassifier	False	0.97	0.985	0.935
word embeddings	W2V	MLPClassifier	False	0.98	0.987	0.881
lemma embeddings	W2V	LogisticRegression	False	1.0	1.0	0.556
lemma embeddings	W2V	DecisionTreeClassifier	False	1.0	1.0	0.314
lemma embeddings	W2V	LGBMClassifier	False	1.0	1.0	0.78
lemma embeddings	W2V	MLPClassifier	False	1.0	1.0	0.646
word and lemma embeddings 	W2V	LogisticRegression	False	0.953	0.985	0.486
word and lemma embeddings 	W2V	DecisionTreeClassifier	False	0.974	1.0	0.809
word and lemma embeddings 	W2V	LGBMClassifier	False	0.989	1.0	0.837
word and lemma embeddings 	W2V	MLPClassifier	False	0.992	0.973	0.565
word and lemma embeddings many	W2V	LogisticRegression	False	0.95	0.965	0.811
