	lemma	word	aspect	disambig	db_id	text	Gender	Mood	Number	POS	Person	Tense	VerbForm	Voice	l_tok_3	l_tok_2	l_tok_1	r_tok_1	r_tok_2	r_tok_3	l_gr_1	l_gr_2	l_gr_3	r_gr_1	r_gr_2	r_gr_3	nsubj	nsubj_count	obj	obj_count	obl	obl_count	advmod	advmod_count	polarity	polarity_word
0	bacati	baca	imp	imp	set-s2762	Otpad iz šest priobalnih zemalja, kao i država u njegovom slivu, ulazi u more uglavnom preko reka, a ponekad se jednostavno baca u vodu.		Ind	Sing	VERB	3	Pres	Fin		ponekad	se	jednostavno	u	vodu	[PAD]	b	a	c	a	c	a	[PAD]	0	[PAD]	0	[PAD]	0	[PAD]	0	pos	[PAD]
1	bacati	bacaju	imp	imp	set-s693	Kosovski Srbi bacaju kamenje na vojnike KFOR-a u ponedeljak (17. marta) u Mitrovici.		Ind	Plur	VERB	3	Pres	Fin		[PAD]	Kosovski	Srbi	kamenje	na	vojnike	b	a	c	u	j	a	[PAD]	0	[PAD]	0	ponedeljak	1	[PAD]	0	pos	[PAD]
2	bacati	bacaju	imp	imp	set-s2765	"Umesto da bacaju mulj 25-30 km prema pučini, šlepovi su ga bacali ovde, blizu obale", rekao je dopisniku SETimes-a krajem septembra Angel Kišev, 80-godišnji ribar iz grada Černomorec.		Ind	Plur	VERB	3	Pres	Fin		[PAD]	Umesto	da	mulj	25	30	b	a	c	u	j	a	[PAD]	0	[PAD]	0	[PAD]	0	[PAD]	0	pos	[PAD]
3	bacati	bacaju	imp	imp	set-s3624	Blokirani razgovori sa MMF bacaju senku na nekada bujajuću tursku ekonomiju.		Ind	Plur	VERB	3	Pres	Fin		razgovori	sa	MMF	senku	na	nekada	b	a	c	u	j	a	razgovori	1	[PAD]	0	[PAD]	0	[PAD]	0	pos	[PAD]
4	bacati	bacala	imp	imp	set-s2360	Prve večeri, publika je bacala flaše na bosanski bend Dubioza pošto su odsvirali "Ne mogu oprostiti", pesmu o srebreničkom masakru.	Fem		Sing	VERB		Past	Part	Act	večeri	publika	je	flaše	na	bosanski	b	a	c	a	l	a	[PAD]	0	[PAD]	0	[PAD]	0	[PAD]	0	pos	[PAD]
5	bacati	bacali	imp	imp	set-s2765	"Umesto da bacaju mulj 25-30 km prema pučini, šlepovi su ga bacali ovde, blizu obale", rekao je dopisniku SETimes-a krajem septembra Angel Kišev, 80-godišnji ribar iz grada Černomorec.	Masc		Plur	VERB		Past	Part	Act	šlepovi	su	ga	ovde	blizu	obale	b	a	c	i	l	a	[PAD]	0	ga	1	[PAD]	0	ovde	1	pos	[PAD]
6	baviti	bave	imp	imp	set-s1528	Prema podacima MŽB, žene u BiH uglavnom se bave poljoprivredom, a potom proizvodnjom i trgovinom i uslugama.		Ind	Plur	VERB	3	Pres	Fin		BiH	uglavnom	se	poljoprivredom	a	potom	b	a	v	e	v	a	žene	1	[PAD]	0	[PAD]	0	uglavnom	1	pos	[PAD]
7	baviti	bave	imp	imp	set-s1715	Obeležavajući Dan UN, svetska organizacija dodelila je nagrade za novinarski rad i fotografiju koji se bave siromaštvom u Makedoniji.		Ind	Plur	VERB	3	Pres	Fin		fotografiju	koji	se	siromaštvom	u	Makedoniji	b	a	v	e	v	a	koji	1	[PAD]	0	[PAD]	0	[PAD]	0	pos	[PAD]
8	baviti	bave	imp	imp	set-s1716	Kancelarija UN-a u Makedoniji dodelila je nagradu za novinarski rad i fotografiju koji se bave siromaštvom.		Ind	Plur	VERB	3	Pres	Fin		fotografiju	koji	se	siromaštvom	[PAD]	[PAD]	b	a	v	e	v	a	koji	1	[PAD]	0	[PAD]	0	[PAD]	0	pos	[PAD]
9	baviti	bave	imp	imp	set-s2873	"Država Kosovo mora da se transformiše iz države za neke ljude u državu za sve; iz države koja je u funkciji ljudi koji se bave spoljnom trgovinom u državu u funkciji lokalnih proizvođača, jer bez proizvodnje nema zapošljavanja, a bez zapošljavanja nema novca", kaže on.		Ind	Plur	VERB	3	Pres	Fin		ljudi	koji	se	spoljnom	trgovinom	u	b	a	v	e	v	a	koji	1	[PAD]	0	[PAD]	0	[PAD]	0	pos	[PAD]
10	baviti	bave	imp	imp	news-s274	Ljudi treba da shvate da ne treba da se bave ličnostima, da je to primitivno shvatanje politike, već treba da se izbore za poverenje građana.		Ind	Plur	VERB	3	Pres	Fin		treba	da	se	ličnostima	da	je	b	a	v	e	v	a	[PAD]	0	[PAD]	0	[PAD]	0	[PAD]	0	pos	[PAD]
