verb	cyrillic	count	aspect
baviti	бавити	9	imp
bacati	бацати	6	imp
birati	бирати	6	imp
biti	бити	5	both
blokirati	блокирати	10	imp
boraviti	боравити	11	imp
boriti	борити	8	imp
brinuti	бринути	5	imp
verovati	веровати	26	imp
videti	видети	27	imp
voditi	водити	33	imp
voleti	волети	6	imp
vratiti	вратити	17	perf
vraćati	враћати	5	imp
vršiti	вршити	9	imp
glasati	гласати	14	perf
gledati	гледати	8	imp
govoriti	говорити	17	imp
gubiti	губити	5	imp
davati	давати	12	imp
dati	дати	23	perf
deliti	делити	6	imp
delovati	деловати	6	imp
desiti	десити	9	perf
definisati	дефинисати	6	imp
dobiti	добити	61	perf
dobijati	добијати	7	imp
dovesti	довести	18	perf
dovoditi	доводити	8	imp
događati	догађати	5	imp
dogoditi	догодити	13	perf
dodavati	додавати	9	imp
dodati	додати	42	perf
dodeliti	доделити	5	perf
dozvoliti	дозволити	12	perf
dolaziti	долазити	10	imp
dominirati	доминирати	8	imp
doneti	донети	22	perf
donositi	доносити	9	imp
doprineti	допринети	10	imp
doprinositi	доприносити	5	imp
doputovati	допутовати	10	perf
dostići	достићи	7	perf
doći	доћи	22	perf
držati	држати	10	imp
eksplodirati	експлодирати	6	perf
žaliti	жалити	9	imp
želeti	желети	53	imp
živeti	живети	26	imp
zabeležiti	забележити	10	perf
zavisiti	зависити	17	imp
završavati	завршавати	5	imp
završiti	завршити	16	perf
zaključivati	закључивати	5	imp
zaključiti	закључити	11	perf
zalagati	залагати	9	imp
zameniti	заменити	7	perf
zatražiti	затражити	9	perf
zaustaviti	зауставити	10	perf
zahtevati	захтевати	13	imp
zvati	звати	5	imp
znati	знати	25	imp
značiti	значити	25	imp
igrati	играти	9	imp
izabrati	изабрати	9	perf
izazvati	изазвати	18	perf
izaći	изаћи	6	perf
izvesti	извести	5	perf
izvestiti	известити	13	perf
izveštavati	извештавати	8	imp
izvršiti	извршити	8	perf
izgledati	изгледати	6	imp
izgraditi	изградити	5	perf
izgubiti	изгубити	28	perf
izdati	издати	9	perf
izneti	изнети	12	perf
iznositi	износити	15	imp
izražavati	изражавати	7	imp
izraziti	изразити	23	perf
izjaviti	изјавити	90	perf
imati	имати	158	imp
investirati	инвестирати	7	imp
iskoristiti	искористити	5	perf
ispuniti	испунити	24	perf
istaći	истаћи	13	perf
isticati	истицати	10	imp
ići	ићи	13	imp
kazati	казати	143	both
koristiti	користити	37	imp
krenuti	кренути	11	perf
kritikovati	критиковати	8	both
kupiti	купити	6	perf
menjati	мењати	8	imp
misliti	мислити	26	imp
morati	морати	99	imp
moći	моћи	175	imp
navesti	навести	11	perf
navoditi	наводити	29	imp
naglasiti	нагласити	11	perf
nadati	надати	31	imp
nazvati	назвати	6	perf
nalaziti	налазити	32	imp
nameravati	намеравати	7	imp
napasti	напасти	7	perf
napraviti	направити	11	perf
napredovati	напредовати	5	imp
napustiti	напустити	15	perf
nastaviti	наставити	29	perf
najaviti	најавити	8	perf
naći	наћи	8	perf
nemati	немати	46	imp
nositi	носити	5	imp
nuditi	нудити	12	imp
obavljati	обављати	10	imp
obezbediti	обезбедити	12	perf
obezbeđivati	обезбеђивати	6	imp
obećavati	обећавати	5	imp
obećati	обећати	15	imp
objaviti	објавити	13	perf
objasniti	објаснити	9	perf
odbaciti	одбацити	15	perf
odbiti	одбити	11	perf
odvijati	одвијати	7	perf
odgovoriti	одговорити	6	perf
odigrati	одиграти	5	perf
odlučiti	одлучити	17	perf
odnositi	односити	14	imp
odobriti	одобрити	6	perf
odrediti	одредити	6	perf
održavati	одржавати	12	imp
održati	одржати	17	perf
odustati	одустати	8	perf
okončati	окончати	5	perf
okupiti	окупити	10	perf
olakšati	олакшати	8	perf
omogućavati	омогућавати	15	imp
omogućiti	омогућити	18	perf
opisati	описати	7	perf
organizovati	организовати	16	both
osvojiti	освојити	21	perf
osećati	осећати	10	imp
osigurati	осигурати	8	perf
osnovati	основати	5	perf
ostaviti	оставити	12	perf
ostati	остати	28	perf
ostajati	остајати	17	perf
ostvarivati	остваривати	6	imp
ostvariti	остварити	17	perf
osuditi	осудити	8	perf
otvoriti	отворити	32	perf
otići	отићи	12	perf
otkriti	открити	9	perf
očekivati	очекивати	49	imp
pasti	пасти	6	imp
pisati	писати	12	imp
pitati	питати	5	imp
planirati	планирати	21	imp
platiti	платити	6	perf
plašiti	плашити	5	imp
pobediti	победити	9	perf
poboljšati	побољшати	6	imp
povećati	повећати	24	perf
povratiti	повратити	6	imp
povući	повући	15	perf
poginuti	погинути	9	perf
podeliti	поделити	6	perf
podići	подићи	7	perf
podneti	поднети	19	perf
podnositi	подносити	5	imp
podrazumevati	подразумевати	5	imp
podržavati	подржавати	14	imp
podržati	подржати	15	perf
podstaći	подстаћи	9	perf
podsticati	подстицати	5	imp
pozvati	позвати	25	perf
pozdraviti	поздравити	6	perf
pozivati	позивати	23	imp
pokazati	показати	30	perf
pokazivati	показивати	29	imp
pokrenuti	покренути	16	perf
pokretati	покретати	7	imp
pokušavati	покушавати	21	imp
pokušati	покушати	14	perf
pomagati	помагати	9	imp
pomenuti	поменути	6	imp
pomoći	помоћи	21	perf
ponoviti	поновити	7	perf
ponuditi	понудити	15	perf
porasti	порасти	5	perf
posetiti	посетити	10	perf
poslati	послати	13	perf
poslužiti	послужити	5	perf
posmatrati	посматрати	6	imp
postavljati	постављати	14	imp
postati	постати	61	perf
postajati	постајати	7	imp
postignuti	постигнути	5	imp
postići	постићи	17	perf
postojati	постојати	45	imp
potvrditi	потврдити	10	perf
potpisati	потписати	34	perf
pohvaliti	похвалити	6	perf
početi	почети	48	perf
počinjati	почињати	7	imp
poštovati	поштовати	9	imp
pojačati	појачати	9	perf
praviti	правити	5	imp
pratiti	пратити	5	imp
prevazići	превазићи	5	perf
predviđati	предвиђати	12	both
predložiti	предложити	12	perf
predstaviti	представити	8	perf
predstavljati	представљати	38	imp
preduzeti	предузети	12	perf
prenositi	преносити	12	imp
pretvoriti	претворити	8	perf
pretiti	претити	5	imp
pretrpeti	претрпети	5	perf
preuzeti	преузети	24	perf
privući	привући	5	perf
pridružiti	придружити	17	perf
priznati	признати	12	perf
primenjivati	примењивати	9	imp
primiti	примити	5	perf
pripadati	припадати	5	imp
pripremiti	припремити	6	perf
pristupiti	приступити	5	perf
prisustvovati	присуствовати	17	imp
prihvatiti	прихватити	17	perf
prijaviti	пријавити	5	perf
proglasiti	прогласити	6	perf
prodati	продати	7	perf
proizvoditi	производити	5	imp
promeniti	променити	19	perf
promovisati	промовисати	6	imp
pronaći	пронаћи	18	perf
protestovati	протестовати	9	imp
protiviti	противити	9	imp
procenjivati	процењивати	5	imp
pročitati	прочитати	5	perf
proći	проћи	9	perf
pružati	пружати	10	imp
pružiti	пружити	10	perf
putovati	путовати	8	imp
raditi	радити	50	imp
razgovarati	разговарати	27	imp
razmatrati	разматрати	7	imp
razmotriti	размотрити	8	perf
razumeti	разумети	7	imp
ratifikovati	ратификовати	7	both
reagovati	реаговати	7	imp
rezultirati	резултирати	5	perf
rešavati	решавати	9	imp
rešiti	решити	15	perf
reći	рећи	291	perf
sadržati	садржати	6	imp
saopštiti	саопштити	47	perf
sarađivati	сарађивати	17	imp
sastati	састати	27	perf
slagati	слагати	14	perf
slediti	следити	6	imp
složiti	сложити	13	perf
služiti	служити	5	imp
smatrati	сматрати	39	imp
smanjiti	смањити	14	perf
sprečiti	спречити	12	perf
sprovesti	спровести	10	perf
sprovoditi	спроводити	10	imp
stajati	стајати	10	imp
stvarati	стварати	5	imp
stvoriti	створити	7	perf
steći	стећи	7	perf
strahovati	страховати	5	imp
suočavati	суочавати	14	imp
suočiti	суочити	11	perf
shvatiti	схватити	5	imp
tvrditi	тврдити	23	imp
težiti	тежити	6	imp
tražiti	тражити	25	imp
trajati	трајати	13	imp
trebati	требати	114	imp
ubiti	убити	5	perf
uživati	уживати	8	imp
ukazati	указати	22	perf
ukazivati	указивати	16	imp
ukinuti	укинути	5	perf
uključivati	укључивати	18	imp
ulaziti	улазити	9	imp
uložiti	уложити	10	imp
unaprediti	унапредити	7	perf
upozoravati	упозоравати	9	imp
upozoriti	упозорити	12	perf
uputiti	упутити	7	perf
uraditi	урадити	20	perf
usvojiti	усвојити	20	perf
uslediti	уследити	11	perf
uspeti	успети	21	perf
uspostaviti	успоставити	10	perf
usredsrediti	усредсредити	5	perf
ustanoviti	установити	7	perf
uticati	утицати	13	imp
uhapsiti	ухапсити	7	perf
uhvatiti	ухватити	6	perf
učestvovati	учествовати	21	both
učiniti	учинити	14	perf
ući	ући	13	perf
formirati	формирати	7	imp
funkcionisati	функционисати	7	imp
činiti	чинити	24	imp
širiti	ширити	5	imp
štititi	штитити	5	imp
